# Dist Capacity fuel
0.1 1 0.100000
0.200000 1.000000 0.200000
0.300000 1.000000 0.300000
0.400000 1.000000 0.400000
0.500000 1.000000 0.500000
0.600000 1.000000 0.600000
0.700000 1.000000 0.700000
0.800000 1.000000 0.800000
0.900000 1.000000 0.900000
1.000000 1.000000 1.000000
1.100000 1.000000 1.300000
1.200000 1.000000 1.600000
1.300000 1.000000 1.900000
1.400000 1.000000 2.333333
1.500000 1.000000 2.833333
1.600000 1.000000 3.466667
1.700000 1.000000 4.214286
1.800000 1.000000 5.139683
1.900000 1.000000 6.283261
2.000000 1.000000 7.672994
2.100000 1.000000 9.368145
2.200000 1.000000 11.439885
2.300000 1.000000 13.962473
2.400000 1.000000 17.054819
2.500000 1.000000 20.833398
2.600000 1.000000 25.447461
2.700000 1.000000 31.077472
2.800000 1.000000 37.957811
2.900000 1.000000 46.364043
3.000000 1.000000 56.628562
3.100000 1.000000 69.165043
3.200000 1.000000 84.478884
3.300000 1.000000 103.181856
3.400000 1.000000 126.025988
3.500000 1.000000 153.928717
3.600000 1.000000 188.008828
3.700000 1.000000 229.635067
3.800000 1.000000 280.476805
3.900000 1.000000 342.575017
4.000000 1.000000 418.421975
4.100000 1.000000 511.061495
4.200000 1.000000 624.212017
4.300000 1.000000 762.414302
4.400000 1.000000 931.214849
4.500000 1.000000 1137.388397
4.600000 1.000000 1389.209272
4.700000 1.000000 1696.784026
4.800000 1.000000 2072.456698
4.900000 1.000000 2531.304304
5.000000 1.000000 3091.742045
